visit_date,number_of_visits,username,store_name,delivery_days,wh,gcu,barangay,city,long,lat,store_profile,last_delivered_date,has_tried_elista,delivered_order_ids,delivered_categories,bakit hindi umorder si customer?,latest_order_status,cancellation_reason,no_delivered_orders,bucket
,,cb725598u154,YenzLoizyl Store,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,124.00011834,10.39740615,Non Key Account,2024-03-18,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u155,Lea's store,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,124.0002621,10.3972757,Non Key Account,2022-06-06,No,,,,cancelled,,0,Churned (60+ Days)
,,cb725598u158,Jared Store,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,124.0002258,10.3981154,Non Key Account,2022-06-08,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u172,Jaden's Store,"Monday, Wednesday, Friday",CB,CB01,Yati,Liloan,123.9856782,10.3944614,Non Key Account,2023-03-22,No,,,,cancelled,,0,Churned (60+ Days)
,,cb725598u19,Miks Mix Store,"Monday, Wednesday, Friday",CB,CB01,Yati,Liloan,123.9851089,10.3936643,Non Key Account,2026-04-15,No,,,,delivered,,0,P30D No Delivery (NKA)
,,cb725598u2,Aubrey Store,"Monday, Wednesday, Friday",CB,CB01,Yati,Liloan,123.9876341,10.3965091,Non Key Account,2023-07-03,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u20,EJN store,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,123.9897786,10.3997306,Non Key Account,2022-10-03,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u22,Yeen Store,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,123.9958306,10.4007293,Non Key Account,2022-12-23,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u23,Neneng Store,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,123.9962119,10.4025514,Non Key Account,2022-10-05,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u25,Raquel Store,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,123.9965645,10.4032373,Non Key Account,2023-07-03,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u26,Lhen's Trading Liloan branch,"Monday, Wednesday, Friday",CB,CB01,Poblacion,Liloan,123.9985649,10.3998089,Non Key Account,2022-06-10,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u27,Emro Store,"Monday, Wednesday, Friday",CB,CB01,Jubay,Liloan,123.9975744,10.4116069,Non Key Account,2023-09-20,No,,,,delivered,,0,Churned (60+ Days)
,,cb725598u28,DNDC store,"Monday, Wednesday, Friday",CB,CB01,Jubay,Liloan,123.9959306,10.4115865,Non Key Account,2025-04-09,No,,,,delivered,,0,Churned (60+ Days)
